id, title, number of lines, number of characters, avg lines, stan dev of line num 
0, allsWellThatEndsWell., 1105, 27, 43, 38.25925925925926
1, antonyAndCleopatra., 1290, 64, 20, 22.026785714285687
2, asYouLikeIt., 926, 32, 30, 28.43951612903226
3, comedyOfErrors., 992, 23, 45, 47.35177865612649
4, coriolanus., 1376, 56, 25, 27.02532467532467
5, cymbeline., 953, 45, 22, 22.87878787878787
6, hamlet., 1142, 36, 33, 35.37301587301585
7, henryIV1., 856, 47, 19, 18.549491211840884
8, henryIV2., 1111, 68, 17, 16.41747146619842
9, henryV., 1043, 73, 14, 15.321917808219165
10, henryVI1., 765, 59, 13, 11.362945645821169
11, henryVI2., 1024, 76, 14, 13.953684210526307
12, henryVI3., 1208, 54, 23, 23.49965059399024
13, henryVIII., 897, 57, 16, 14.760025062656636
14, juliusCaesar., 917, 58, 16, 16.336963097398655
15, kingJohn., 786, 44, 18, 18.413319238900645
16, kingLear., 1113, 38, 30, 32.89189189189188
17, lovesLaborsLost., 1078, 33, 34, 35.29924242424242
18, macbeth., 837, 40, 21, 20.396153846153844
19, measureForMeasure., 961, 34, 29, 31.413547237076642
20, merchantOfVenice., 655, 26, 26, 22.323076923076925
21, merryWivesOfWindsor., 1459, 27, 56, 47.25641025641025
22, midsummerNightsDream., 537, 34, 16, 15.58823529411764
23, muchAdoAboutNothing., 1083, 33, 34, 32.33712121212121
24, othello., 1214, 28, 45, 51.51587301587305
25, pericles., 766, 49, 16, 15.537414965986395
26, richardII., 737, 56, 13, 14.185714285714274
27, richardIII., 1413, 81, 18, 19.944444444444414
28, romeoAndJuliet., 1006, 37, 28, 27.810810810810818
29, tamingOfTheShrew., 944, 42, 23, 24.08130081300812
30, tempest., 664, 23, 30, 25.130434782608692
31, timonOfAthens., 1060, 62, 17, 17.978847170809097
32, titusAndronicus., 626, 35, 18, 18.95462184873949
33, troilusAndCressida., 1181, 35, 35, 33.45378151260505
34, twelfthNight., 956, 26, 38, 38.91076923076923
35, twoGentlemenOfVerona., 903, 22, 43, 37.0
36, twoNobleKinsmen., 977, 44, 23, 22.70295983086679
37, venusAndAdonis., 5, 5, 1, 0.25
38, wintersTale., 868, 39, 23, 22.491228070175453
